Billdet_ID,FRANCHISE_ID,SITE_ID,Bill_ID,item_ID,QUANTITY,PRICE,Total,Note,ItemName,ItemName_Local,ItemType,ParentID,IsUpload,BillDetailStatus,BillDetailKey,TotalBeforDiscount,PriceListId,Bill_UnitID,CallCenterOrderDetailId,tablekey_ID,DetailSourceId,DiscountValue,TaxValue
245547,139,257,144132,0,1.000000,0.000000,0.000000,NULL,YOU GOT OUR SPECIAL FRIES FOR FREE,NULL,4,245546,1,4,NULL,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245548,139,257,144133,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245549,139,257,144133,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245548,1,4,257-245549,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245550,139,257,144133,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245548,1,4,257-245550,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245551,139,257,144133,113712,1.000000,210.000000,210.000000,NULL,WildBlaze,NULL,1,0,1,4,NULL,210.000000,0,147305,NULL,0,NULL,0.000000,0.000000
245552,139,257,144132,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245553,139,257,144134,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
245554,139,257,144134,113741,1.000000,125.000000,125.000000,NULL,TNT Fries,NULL,1,0,1,4,NULL,125.000000,0,147334,NULL,0,NULL,0.000000,0.000000
245555,139,257,144135,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245556,139,257,144135,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245557,139,257,144135,113725,1.000000,380.000000,380.000000,NULL,3PC NASH,NULL,1,0,1,4,NULL,380.000000,0,147318,NULL,0,NULL,0.000000,0.000000
245558,139,257,144135,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245559,139,257,144135,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245560,139,257,144135,113746,1.000000,80.000000,80.000000,NULL,Cheesy Waffle'd,NULL,1,0,1,4,NULL,80.000000,0,147339,NULL,0,NULL,0.000000,0.000000
245561,139,257,144136,113723,1.000000,300.000000,300.000000,NULL,3PC OG,NULL,1,0,1,4,NULL,300.000000,0,147316,NULL,0,NULL,0.000000,0.000000
245562,139,257,144136,0,1.000000,0.000000,0.000000,NULL,شيدر هانى مستر باربكيو,NULL,4,245561,1,4,257-245562,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245563,139,257,144136,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245564,139,257,144136,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
245565,139,257,144137,113716,3.000000,280.000000,840.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,840.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245566,139,257,144137,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
245567,139,257,144137,113757,4.000000,35.000000,140.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,140.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245568,139,257,144138,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245569,139,257,144138,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
245570,139,257,144138,113757,2.000000,35.000000,70.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,70.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245571,139,257,144139,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245572,139,257,144139,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
245573,139,257,144139,113741,1.000000,125.000000,125.000000,NULL,TNT Fries,NULL,1,0,1,4,NULL,125.000000,0,147334,NULL,0,NULL,0.000000,0.000000
245574,139,257,144139,0,1.000000,0.000000,0.000000,NULL,فريسكس,NULL,4,245573,1,4,NULL,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245575,139,257,144140,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
245576,139,257,144140,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
